User|Group|JobID|ReqTRES|Timelimit|Submit|NodeList|Start|End|Elapsed|State|ExitCode
xinyut|ee|55437112|billing=2,cpu=1,gres/gpu=1,mem=32768M,node=1|01:00:00|2024-04-05T01:09:44|della-l08g5|2024-04-05T01:09:56|2024-04-05T01:11:20|00:01:24|CANCELLED by 152871|0:0
|4294967294|55437112.batch|||2024-04-05T01:09:56|della-l08g5|2024-04-05T01:09:56|2024-04-05T01:11:21|00:01:25|CANCELLED|0:15
|4294967294|55437112.extern|||2024-04-05T01:09:56|della-l08g5|2024-04-05T01:09:56|2024-04-05T01:11:20|00:01:24|COMPLETED|0:0
|4294967294|55437112.0|||2024-04-05T01:09:58|della-l08g5|2024-04-05T01:09:58|2024-04-05T01:11:22|00:01:24|CANCELLED|0:15
xinyut|ee|55437150|billing=2,cpu=1,gres/gpu=1,mem=32768M,node=1|01:00:00|2024-04-05T01:11:16|della-l08g5|2024-04-05T01:11:52|2024-04-05T01:16:26|00:04:34|CANCELLED by 152871|0:0
|4294967294|55437150.batch|||2024-04-05T01:11:52|della-l08g5|2024-04-05T01:11:52|2024-04-05T01:16:27|00:04:35|CANCELLED|0:15
|4294967294|55437150.extern|||2024-04-05T01:11:52|della-l08g5|2024-04-05T01:11:52|2024-04-05T01:16:26|00:04:34|COMPLETED|0:0
|4294967294|55437150.0|||2024-04-05T01:11:54|della-l08g5|2024-04-05T01:11:54|2024-04-05T01:16:28|00:04:34|CANCELLED|0:15
jdezoort|physics|55437178_0|billing=2,cpu=1,gres/gpu=1,mem=32768M,node=1|00:59:00|2024-04-05T01:12:35|della-l08g5|2024-04-05T01:12:43|2024-04-05T01:14:24|00:01:41|COMPLETED|0:0
|4294967294|55437178_0.batch|||2024-04-05T01:12:43|della-l08g5|2024-04-05T01:12:43|2024-04-05T01:14:24|00:01:41|COMPLETED|0:0
|4294967294|55437178_0.extern|||2024-04-05T01:12:43|della-l08g5|2024-04-05T01:12:43|2024-04-05T01:14:24|00:01:41|COMPLETED|0:0
jdezoort|physics|55437491_0|billing=2,cpu=1,gres/gpu=1,mem=32768M,node=1|00:59:00|2024-04-05T01:25:01|della-l08g5|2024-04-05T01:25:09|2024-04-05T02:29:18|01:04:09|TIMEOUT|0:0
|4294967294|55437491_0.batch|||2024-04-05T01:25:09|della-l08g5|2024-04-05T01:25:09|2024-04-05T02:29:19|01:04:10|CANCELLED|0:15
|4294967294|55437491_0.extern|||2024-04-05T01:25:09|della-l08g5|2024-04-05T01:25:09|2024-04-05T02:29:18|01:04:09|COMPLETED|0:0
sreejank|pni|55444457|billing=6,cpu=1,gres/gpu=4,mem=81920M,node=1|00:50:00|2024-04-05T10:29:32|della-l08g5|2024-04-05T10:29:55|2024-04-05T10:35:30|00:05:35|FAILED|2:0
|4294967294|55444457.interactive|||2024-04-05T10:29:55|della-l08g5|2024-04-05T10:29:55|2024-04-05T10:35:30|00:05:35|FAILED|2:0
|4294967294|55444457.extern|||2024-04-05T10:29:55|della-l08g5|2024-04-05T10:29:55|2024-04-05T10:35:30|00:05:35|COMPLETED|0:0
mg2332|cs|55446746|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-05T12:55:11|della-l08g5|2024-04-05T12:55:49|2024-04-05T12:59:36|00:03:47|COMPLETED|0:0
|4294967294|55446746.batch|||2024-04-05T12:55:49|della-l08g5|2024-04-05T12:55:49|2024-04-05T12:59:36|00:03:47|COMPLETED|0:0
|4294967294|55446746.extern|||2024-04-05T12:55:49|della-l08g5|2024-04-05T12:55:49|2024-04-05T12:59:36|00:03:47|COMPLETED|0:0
da9666|cbe|55447260|billing=1,cpu=1,gres/gpu=2,mem=4000M,node=1|00:10:00|2024-04-05T13:14:40|della-l08g5|2024-04-05T13:20:03|2024-04-05T13:23:42|00:03:39|COMPLETED|0:0
|4294967294|55447260.batch|||2024-04-05T13:20:03|della-l08g5|2024-04-05T13:20:03|2024-04-05T13:23:42|00:03:39|COMPLETED|0:0
|4294967294|55447260.extern|||2024-04-05T13:20:03|della-l08g5|2024-04-05T13:20:03|2024-04-05T13:23:42|00:03:39|COMPLETED|0:0
da9666|cbe|55447261|billing=1,cpu=1,gres/gpu=4,mem=4000M,node=1|00:10:00|2024-04-05T13:14:40|della-l08g5|2024-04-05T13:24:09|2024-04-05T13:29:56|00:05:47|COMPLETED|0:0
|4294967294|55447261.batch|||2024-04-05T13:24:09|della-l08g5|2024-04-05T13:24:09|2024-04-05T13:29:56|00:05:47|COMPLETED|0:0
|4294967294|55447261.extern|||2024-04-05T13:24:09|della-l08g5|2024-04-05T13:24:09|2024-04-05T13:29:56|00:05:47|COMPLETED|0:0
da9666|cbe|55447276|billing=1,cpu=1,gres/gpu=4,mem=4000M,node=1|00:10:00|2024-04-05T13:15:28|della-l08g5|2024-04-05T13:38:39|2024-04-05T13:44:26|00:05:47|COMPLETED|0:0
|4294967294|55447276.batch|||2024-04-05T13:38:39|della-l08g5|2024-04-05T13:38:39|2024-04-05T13:44:26|00:05:47|COMPLETED|0:0
|4294967294|55447276.extern|||2024-04-05T13:38:39|della-l08g5|2024-04-05T13:38:39|2024-04-05T13:44:26|00:05:47|COMPLETED|0:0
